name,category,price,subcategory,image,description
"Wireless Noise-Canceling Headphones",electronics,20800,audio,"https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=400&h=300&fit=crop","Premium wireless headphones with active noise cancellation and 30-hour battery life"
"Gaming Mechanical Keyboard",electronics,13330,computers,"https://images.unsplash.com/photo-1541140532154-b024d705b90a?w=400&h=300&fit=crop","RGB backlit mechanical keyboard with tactile switches perfect for gaming"
"Smart Fitness Watch",electronics,24990,wearables,"https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=400&h=300&fit=crop","Advanced fitness tracking with heart rate monitor and GPS functionality"
"Designer Leather Jacket",clothing,32500,outerwear,"https://images.unsplash.com/photo-1551028719-00167b16eac5?w=400&h=300&fit=crop","Genuine leather jacket with premium craftsmanship and modern styling"
"Professional Running Shoes",clothing,14990,footwear,"https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=400&h=300&fit=crop","Lightweight running shoes with responsive foam and breathable mesh upper"
"Cashmere Wool Sweater",clothing,10830,knitwear,"https://images.unsplash.com/photo-1434389677669-e08b4cac3105?w=400&h=300&fit=crop","Luxurious cashmere blend sweater perfect for any season"
"Espresso Coffee Machine",home,74990,kitchen,"https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?w=400&h=300&fit=crop","Professional-grade espresso machine with built-in grinder and steam wand"
"Memory Foam Mattress",home,54160,bedroom,"https://images.unsplash.com/photo-1586023492125-27b2c045efd7?w=400&h=300&fit=crop","Queen size memory foam mattress with cooling gel technology"
"Smart LED Lighting Kit",home,7500,lighting,"https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=400&h=300&fit=crop","WiFi-enabled smart bulbs with 16 million colors and voice control"
"Professional Tennis Racket",sports,18330,equipment,"https://images.unsplash.com/photo-1551698618-1dfe5d97d256?w=400&h=300&fit=crop","Tournament-grade tennis racket with graphite construction and comfort grip"
"Yoga Mat Premium",sports,5830,fitness,"https://images.unsplash.com/photo-1601925260368-ae2f83cf8b7f?w=400&h=300&fit=crop","Extra-thick yoga mat with superior grip and eco-friendly materials"
"Mountain Bike Helmet",sports,6660,cycling,"https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=400&h=300&fit=crop","Lightweight cycling helmet with advanced ventilation and safety features"
"Leather Travel Backpack",accessories,13330,bags,"https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=400&h=300&fit=crop","Handcrafted leather backpack with laptop compartment and multiple pockets"
"Titanium Sports Watch",accessories,37490,watches,"https://images.unsplash.com/photo-1524592094714-0f0654e20314?w=400&h=300&fit=crop","Durable titanium watch with sapphire crystal and water resistance to 200m"
"Wireless Charging Pad",accessories,4160,tech,"https://images.unsplash.com/photo-1586368687284-f2d1f8cb8df8?w=400&h=300&fit=crop","Fast wireless charging pad compatible with all Qi-enabled devices"